time_s,RequestScannerOn_raw,RecordScannerOn_raw,Periodicity_raw,Phase_raw,Left-Right_raw,Ant.-Post._raw,Head-Feet_raw,MarkerBlockFound_raw
7.88,0.0,0.0,63404.0,34622.0,658.0,61131.0,64419.0,0.0
7.92,0.0,0.0,64695.0,35292.0,650.0,61291.0,64469.0,0.0
7.96,0.0,0.0,65320.0,35941.0,772.0,61414.0,64521.0,0.0
8.0,0.0,0.0,64174.0,36586.0,730.0,61662.0,64609.0,0.0
8.04,0.0,0.0,61924.0,37265.0,650.0,62016.0,64730.0,0.0
8.08,0.0,0.0,64096.0,37907.0,620.0,61724.0,64630.0,0.0
8.12,0.0,0.0,63837.0,38573.0,528.0,61962.0,64722.0,0.0
8.16,0.0,0.0,60707.0,39218.0,543.0,62164.0,64806.0,0.0
8.2,0.0,0.0,62215.0,39867.0,698.0,61651.0,64611.0,0.0
8.24,0.0,0.0,62839.0,40549.0,565.0,60672.0,64308.0,0.0
8.28,0.0,0.0,61919.0,41186.0,568.0,60532.0,64305.0,0.0
8.32,0.0,0.0,59900.0,41848.0,587.0,60542.0,64346.0,0.0
8.36,0.0,0.0,61184.0,42498.0,557.0,60171.0,64258.0,0.0
8.4,0.0,0.0,61368.0,43138.0,597.0,60023.0,64264.0,0.0
8.44,0.0,0.0,58253.0,43806.0,710.0,59950.0,64339.0,0.0
8.48,0.0,0.0,58657.0,44442.0,817.0,60004.0,64462.0,0.0
8.52,0.0,0.0,58622.0,45110.0,864.0,59652.0,64479.0,0.0
8.56,0.0,0.0,56173.0,45770.0,781.0,58913.0,64403.0,0.0
8.6,0.0,0.0,53069.0,46413.0,526.0,57645.0,64193.0,0.0
8.64,0.0,0.0,52161.0,47090.0,556.0,56905.0,64234.0,0.0
8.68,0.0,0.0,50158.0,47725.0,727.0,56636.0,64473.0,0.0
8.72,0.0,0.0,48814.0,48392.0,765.0,55430.0,64421.0,0.0
8.76,0.0,0.0,45722.0,49046.0,574.0,54022.0,64379.0,0.0
8.8,0.0,0.0,45476.0,49677.0,530.0,52884.0,64495.0,0.0
8.84,0.0,0.0,45231.0,50349.0,467.0,51805.0,64703.0,0.0
8.88,0.0,0.0,40836.0,50996.0,434.0,49981.0,64686.0,0.0
8.92,0.0,0.0,39502.0,51674.0,489.0,47758.0,64608.0,0.0
8.96,0.0,0.0,35553.0,52341.0,693.0,45915.0,64733.0,0.0
9.0,0.0,0.0,32697.0,52982.0,1126.0,43632.0,64729.0,0.0
9.04,0.0,0.0,29410.0,53320.0,1393.0,40887.0,64634.0,0.0
9.08,0.0,0.0,27433.0,53976.0,1455.0,38249.0,64643.0,0.0
9.12,0.0,0.0,24588.0,54637.0,1257.0,35246.0,64568.0,0.0
9.16,0.0,0.0,24138.0,55321.0,1262.0,31988.0,64428.0,0.0
9.2,0.0,0.0,24124.0,55978.0,2057.0,28633.0,64313.0,0.0
9.24,0.0,0.0,22806.0,56634.0,2710.0,25994.0,64438.0,0.0
9.28,0.0,0.0,23444.0,57285.0,3288.0,23373.0,64535.0,0.0
9.32,0.0,0.0,24081.0,57942.0,3602.0,20534.0,64545.0,0.0
9.36,0.0,0.0,26668.0,58612.0,3544.0,17391.0,64426.0,0.0
9.4,0.0,0.0,27736.0,59267.0,3198.0,14394.0,64345.0,0.0
9.44,0.0,0.0,33134.0,59912.0,3147.0,11808.0,64372.0,0.0
9.48,0.0,0.0,37226.0,60542.0,3198.0,10483.0,64769.0,0.0
9.52,0.0,0.0,41963.0,61203.0,3238.0,8066.0,64664.0,0.0
9.56,0.0,0.0,45613.0,61867.0,3611.0,6223.0,64670.0,0.0
9.6,0.0,0.0,46882.0,62506.0,3716.0,5039.0,64848.0,0.0
9.64,0.0,0.0,47286.0,63176.0,3901.0,3613.0,64811.0,0.0
9.68,0.0,0.0,51142.0,63806.0,3907.0,2332.0,64726.0,0.0
9.72,0.0,0.0,55641.0,64463.0,4114.0,3408.0,65374.0,0.0
9.76,0.0,0.0,56039.0,65131.0,3792.0,2683.0,65189.0,0.0
9.8,0.0,0.0,55144.0,199.0,3750.0,1511.0,64773.0,0.0
9.84,0.0,0.0,52744.0,868.0,4115.0,2452.0,65007.0,0.0
9.88,0.0,0.0,50561.0,1518.0,4092.0,3182.0,65005.0,0.0
9.92,0.0,0.0,48811.0,2175.0,3985.0,3825.0,64821.0,0.0
9.96,0.0,0.0,45344.0,2851.0,3786.0,5179.0,64811.0,0.0
10.0,0.0,0.0,45962.0,3490.0,3618.0,6944.0,64850.0,0.0
10.04,0.0,0.0,45076.0,4160.0,3314.0,8767.0,64803.0,0.0
10.08,0.0,0.0,38399.0,4792.0,3065.0,10440.0,64598.0,0.0
10.12,0.0,0.0,31302.0,5446.0,3071.0,12565.0,64492.0,0.0
10.16,0.0,0.0,28069.0,6120.0,3049.0,14857.0,64380.0,0.0
10.2,0.0,0.0,25055.0,6758.0,3365.0,17887.0,64481.0,0.0
10.24,0.0,0.0,25040.0,7435.0,3248.0,20871.0,64504.0,0.0
10.28,0.0,0.0,24170.0,8075.0,3089.0,23727.0,64485.0,0.0
10.32,0.0,0.0,24583.0,8734.0,2710.0,27038.0,64613.0,0.0
10.36,0.0,0.0,24355.0,9416.0,2422.0,30331.0,64733.0,0.0
10.4,0.0,0.0,25622.0,10055.0,2454.0,33336.0,64754.0,0.0
10.44,0.0,0.0,26247.0,10724.0,2643.0,36340.0,64810.0,0.0
10.48,0.0,0.0,27725.0,11367.0,2604.0,38964.0,64767.0,0.0
10.52,0.0,0.0,29840.0,12032.0,2535.0,41304.0,64675.0,0.0
10.56,0.0,0.0,30675.0,12702.0,2170.0,43450.0,64581.0,0.0
10.6,0.0,0.0,34063.0,13320.0,1137.0,45620.0,64533.0,0.0
10.64,0.0,0.0,38086.0,14003.0,1170.0,48158.0,64651.0,0.0
10.68,0.0,0.0,42529.0,14632.0,1005.0,49604.0,64452.0,0.0
10.72,0.0,0.0,43779.0,15299.0,715.0,50748.0,64231.0,0.0
10.76,0.0,0.0,44179.0,15979.0,734.0,52696.0,64371.0,0.0
10.8,0.0,0.0,44790.0,16620.0,967.0,54300.0,64410.0,0.0
10.84,0.0,0.0,48158.0,17288.0,917.0,55461.0,64373.0,0.0
10.88,0.0,0.0,50038.0,17917.0,772.0,56028.0,64207.0,0.0
10.92,0.0,0.0,51493.0,18584.0,681.0,57220.0,64315.0,0.0
10.96,0.0,0.0,54851.0,19241.0,614.0,57928.0,64284.0,0.0
11.0,0.0,0.0,56724.0,19886.0,720.0,58742.0,64342.0,0.0
11.04,0.0,0.0,56691.0,20575.0,935.0,59886.0,64564.0,0.0
11.08,0.0,0.0,57715.0,21210.0,926.0,60338.0,64550.0,0.0
11.12,0.0,0.0,58527.0,21883.0,908.0,60485.0,64486.0,0.0
11.16,0.0,0.0,57649.0,22540.0,861.0,60302.0,64347.0,0.0
11.2,0.0,0.0,57826.0,23172.0,779.0,60283.0,64276.0,0.0
11.24,0.0,0.0,58637.0,23841.0,745.0,60269.0,64223.0,0.0
11.28,0.0,0.0,58603.0,24466.0,764.0,60538.0,64276.0,0.0
11.32,0.0,0.0,58358.0,25128.0,765.0,60843.0,64353.0,0.0
11.36,0.0,0.0,59377.0,25782.0,834.0,60919.0,64358.0,0.0
11.4,0.0,0.0,60816.0,26613.0,944.0,61016.0,64383.0,0.0
11.44,0.0,0.0,59940.0,27271.0,778.0,60761.0,64288.0,0.0
11.48,0.0,0.0,59905.0,27901.0,787.0,60781.0,64296.0,0.0
11.52,0.0,0.0,61761.0,28575.0,794.0,61105.0,64414.0,0.0
11.56,0.0,0.0,61516.0,29221.0,745.0,60660.0,64248.0,0.0
11.6,0.0,0.0,61271.0,29879.0,720.0,60703.0,64269.0,0.0
11.64,0.0,0.0,62494.0,30553.0,639.0,60770.0,64294.0,0.0
11.68,0.0,0.0,63506.0,31181.0,728.0,61131.0,64412.0,0.0
11.72,0.0,0.0,63050.0,31857.0,739.0,61201.0,64441.0,0.0
11.76,0.0,0.0,62177.0,32503.0,749.0,61250.0,64450.0,0.0
11.8,0.0,0.0,64442.0,33161.0,736.0,61044.0,64372.0,0.0
11.84,0.0,0.0,64615.0,33835.0,834.0,61069.0,64399.0,0.0
11.88,0.0,0.0,63533.0,34480.0,806.0,61069.0,64390.0,0.0
11.92,0.0,0.0,64332.0,35156.0,792.0,61103.0,64414.0,0.0
11.96,0.0,0.0,65130.0,35801.0,894.0,61242.0,64450.0,0.0
12.0,0.0,0.0,63841.0,36463.0,780.0,61185.0,64439.0,0.0
12.04,0.0,0.0,61928.0,37139.0,797.0,61198.0,64439.0,0.0
12.08,0.0,0.0,63768.0,37770.0,788.0,61130.0,64407.0,0.0
12.12,0.0,0.0,63731.0,38452.0,819.0,60992.0,64369.0,0.0
12.16,0.0,0.0,62030.0,39101.0,792.0,60882.0,64336.0,0.0
12.2,0.0,0.0,61995.0,39762.0,781.0,60734.0,64305.0,0.0
12.24,0.0,0.0,62791.0,40431.0,772.0,60690.0,64306.0,0.0
12.28,0.0,0.0,61716.0,41059.0,818.0,60869.0,64395.0,0.0
12.32,0.0,0.0,60227.0,41734.0,847.0,60839.0,64429.0,0.0
12.36,0.0,0.0,61231.0,42370.0,913.0,60896.0,64493.0,0.0
12.4,0.0,0.0,61196.0,43025.0,930.0,60946.0,64582.0,0.0
12.44,0.0,0.0,59502.0,43679.0,1067.0,60641.0,64553.0,0.0
12.48,0.0,0.0,58225.0,44305.0,1032.0,60315.0,64563.0,0.0
12.52,0.0,0.0,58814.0,44982.0,1043.0,59758.0,64516.0,0.0
12.56,0.0,0.0,56297.0,45620.0,1054.0,59186.0,64505.0,0.0
12.6,0.0,0.0,54196.0,46269.0,1046.0,58484.0,64498.0,0.0
12.64,0.0,0.0,51271.0,46944.0,883.0,57498.0,64421.0,0.0
12.68,0.0,0.0,52068.0,47578.0,859.0,56333.0,64344.0,0.0
12.72,0.0,0.0,50180.0,48254.0,848.0,55082.0,64299.0,0.0
12.76,0.0,0.0,48501.0,48902.0,688.0,53735.0,64280.0,0.0
12.8,0.0,0.0,45586.0,49560.0,580.0,52472.0,64362.0,0.0
12.84,0.0,0.0,45972.0,50239.0,544.0,51061.0,64430.0,0.0
12.88,0.0,0.0,43886.0,50885.0,577.0,49537.0,64534.0,0.0
12.92,0.0,0.0,39537.0,51553.0,770.0,48020.0,64693.0,0.0
12.96,0.0,0.0,36222.0,52200.0,962.0,46032.0,64748.0,0.0
13.0,0.0,0.0,32499.0,52851.0,1342.0,43633.0,64709.0,0.0
13.04,0.0,0.0,29397.0,53521.0,1584.0,40968.0,64637.0,0.0
13.08,0.0,0.0,27326.0,54155.0,1446.0,38125.0,64582.0,0.0
13.12,0.0,0.0,24641.0,54819.0,1320.0,35371.0,64587.0,0.0
13.16,0.0,0.0,24217.0,55460.0,1334.0,32649.0,64659.0,0.0
13.2,0.0,0.0,23793.0,56103.0,2174.0,29910.0,64725.0,0.0
13.24,0.0,0.0,23779.0,56773.0,2808.0,27008.0,64733.0,0.0
13.28,0.0,0.0,23766.0,57408.0,3154.0,23822.0,64639.0,0.0
13.32,0.0,0.0,24162.0,58074.0,3429.0,20746.0,64576.0,0.0
13.36,0.0,0.0,26809.0,58719.0,3338.0,17857.0,64576.0,0.0
